time_sec,sat_id,name,x_km,y_km,altitude_km,beam_idx,target_cell_id
-120.0,1,Starlink-1247,-1140.0000,200.0000,550.0,0,13
-120.0,1,Starlink-1247,-1140.0000,200.0000,550.0,1,16
-120.0,1,Starlink-1247,-1140.0000,200.0000,550.0,2,19
-120.0,1,Starlink-1247,-1140.0000,200.0000,550.0,3,22
-120.0,2,OneWeb-A4-12,300.0000,-1140.0000,1200.0,0,49
-120.0,2,OneWeb-A4-12,300.0000,-1140.0000,1200.0,1,73
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,0,60
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,1,63
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,2,66
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,3,84
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,4,87
-120.0,3,Telesat-LS7,-636.0000,-636.0000,1015.0,5,90
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,0,0
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,1,3
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,2,6
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,3,9
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,4,108
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,5,111
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,6,114
-120.0,4,Kuiper-K3-552,1140.0000,400.0000,630.0,7,117
-118.0,1,Starlink-1247,-1124.8200,200.7590,550.0,0,13
-118.0,1,Starlink-1247,-1124.8200,200.7590,550.0,1,16
-118.0,1,Starlink-1247,-1124.8200,200.7590,550.0,2,19
-118.0,1,Starlink-1247,-1124.8200,200.7590,550.0,3,22
-118.0,2,OneWeb-A4-12,300.0000,-1125.7200,1200.0,0,49
-118.0,2,OneWeb-A4-12,300.0000,-1125.7200,1200.0,1,73
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,0,60
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,1,63
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,2,66
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,3,84
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,4,87
-118.0,3,Telesat-LS7,-625.6055,-625.6055,1015.0,5,90
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,0,0
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,1,3
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,2,6
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,3,9
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,4,108
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,5,111
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,6,114
-118.0,4,Kuiper-K3-552,1124.7800,399.2390,630.0,7,117
-116.0,1,Starlink-1247,-1109.6400,201.5180,550.0,0,13
-116.0,1,Starlink-1247,-1109.6400,201.5180,550.0,1,16
-116.0,1,Starlink-1247,-1109.6400,201.5180,550.0,2,19
-116.0,1,Starlink-1247,-1109.6400,201.5180,550.0,3,22
-116.0,2,OneWeb-A4-12,300.0000,-1111.4400,1200.0,0,49
-116.0,2,OneWeb-A4-12,300.0000,-1111.4400,1200.0,1,73
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,0,60
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,1,63
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,2,66
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,3,84
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,4,87
-116.0,3,Telesat-LS7,-615.2111,-615.2111,1015.0,5,90
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,0,1
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,1,4
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,2,7
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,3,10
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,4,109
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,5,112
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,6,115
-116.0,4,Kuiper-K3-552,1109.5600,398.4780,630.0,7,118
-114.0,1,Starlink-1247,-1094.4600,202.2770,550.0,0,14
-114.0,1,Starlink-1247,-1094.4600,202.2770,550.0,1,17
-114.0,1,Starlink-1247,-1094.4600,202.2770,550.0,2,20
-114.0,1,Starlink-1247,-1094.4600,202.2770,550.0,3,23
-114.0,2,OneWeb-A4-12,300.0000,-1097.1600,1200.0,0,49
-114.0,2,OneWeb-A4-12,300.0000,-1097.1600,1200.0,1,73
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,0,61
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,1,64
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,2,67
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,3,85
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,4,88
-114.0,3,Telesat-LS7,-604.8166,-604.8166,1015.0,5,91
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,0,1
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,1,4
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,2,7
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,3,10
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,4,109
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,5,112
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,6,115
-114.0,4,Kuiper-K3-552,1094.3400,397.7170,630.0,7,118
-112.0,1,Starlink-1247,-1079.2800,203.0360,550.0,0,14
-112.0,1,Starlink-1247,-1079.2800,203.0360,550.0,1,17
-112.0,1,Starlink-1247,-1079.2800,203.0360,550.0,2,20
-112.0,1,Starlink-1247,-1079.2800,203.0360,550.0,3,23
-112.0,2,OneWeb-A4-12,300.0000,-1082.8800,1200.0,0,50
-112.0,2,OneWeb-A4-12,300.0000,-1082.8800,1200.0,1,74
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,0,61
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,1,64
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,2,67
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,3,85
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,4,88
-112.0,3,Telesat-LS7,-594.4221,-594.4221,1015.0,5,91
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,0,2
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,1,5
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,2,8
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,3,11
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,4,110
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,5,113
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,6,116
-112.0,4,Kuiper-K3-552,1079.1200,396.9560,630.0,7,119
-110.0,1,Starlink-1247,-1064.1000,203.7950,550.0,0,14
-110.0,1,Starlink-1247,-1064.1000,203.7950,550.0,1,17
-110.0,1,Starlink-1247,-1064.1000,203.7950,550.0,2,20
-110.0,1,Starlink-1247,-1064.1000,203.7950,550.0,3,23
-110.0,2,OneWeb-A4-12,300.0000,-1068.6000,1200.0,0,50
-110.0,2,OneWeb-A4-12,300.0000,-1068.6000,1200.0,1,74
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,0,73
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,1,76
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,2,79
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,3,97
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,4,100
-110.0,3,Telesat-LS7,-584.0277,-584.0277,1015.0,5,103
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,0,2
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,1,5
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,2,8
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,3,11
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,4,110
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,5,113
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,6,116
-110.0,4,Kuiper-K3-552,1063.9000,396.1950,630.0,7,119
-108.0,1,Starlink-1247,-1048.9200,204.5540,550.0,0,15
-108.0,1,Starlink-1247,-1048.9200,204.5540,550.0,1,18
-108.0,1,Starlink-1247,-1048.9200,204.5540,550.0,2,21
-108.0,1,Starlink-1247,-1048.9200,204.5540,550.0,3,35
-108.0,2,OneWeb-A4-12,300.0000,-1054.3200,1200.0,0,50
-108.0,2,OneWeb-A4-12,300.0000,-1054.3200,1200.0,1,74
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,0,73
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,1,76
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,2,79
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,3,97
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,4,100
-108.0,3,Telesat-LS7,-573.6332,-573.6332,1015.0,5,103
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,0,1
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,1,4
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,2,7
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,3,10
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,4,109
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,5,112
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,6,115
-108.0,4,Kuiper-K3-552,1048.6800,395.4340,630.0,7,118
-106.0,1,Starlink-1247,-1033.7400,205.3130,550.0,0,15
-106.0,1,Starlink-1247,-1033.7400,205.3130,550.0,1,18
-106.0,1,Starlink-1247,-1033.7400,205.3130,550.0,2,21
-106.0,1,Starlink-1247,-1033.7400,205.3130,550.0,3,35
-106.0,2,OneWeb-A4-12,300.0000,-1040.0400,1200.0,0,50
-106.0,2,OneWeb-A4-12,300.0000,-1040.0400,1200.0,1,74
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,0,73
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,1,76
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,2,79
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,3,97
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,4,100
-106.0,3,Telesat-LS7,-563.2387,-563.2387,1015.0,5,103
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,0,1
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,1,4
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,2,7
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,3,10
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,4,109
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,5,112
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,6,115
-106.0,4,Kuiper-K3-552,1033.4600,394.6730,630.0,7,118
-104.0,1,Starlink-1247,-1018.5600,206.0720,550.0,0,15
-104.0,1,Starlink-1247,-1018.5600,206.0720,550.0,1,18
-104.0,1,Starlink-1247,-1018.5600,206.0720,550.0,2,21
-104.0,1,Starlink-1247,-1018.5600,206.0720,550.0,3,35
-104.0,2,OneWeb-A4-12,300.0000,-1025.7600,1200.0,0,51
-104.0,2,OneWeb-A4-12,300.0000,-1025.7600,1200.0,1,75
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,0,72
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,1,75
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,2,78
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,3,96
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,4,99
-104.0,3,Telesat-LS7,-552.8442,-552.8442,1015.0,5,102
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,0,0
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,1,3
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,2,6
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,3,9
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,4,108
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,5,111
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,6,114
-104.0,4,Kuiper-K3-552,1018.2400,393.9120,630.0,7,117
-102.0,1,Starlink-1247,-1003.3800,206.8310,550.0,0,27
-102.0,1,Starlink-1247,-1003.3800,206.8310,550.0,1,30
-102.0,1,Starlink-1247,-1003.3800,206.8310,550.0,2,33
-102.0,1,Starlink-1247,-1003.3800,206.8310,550.0,3,34
